Max_Next_4,Min_Next_4
1887.528,1884.558
1887.858,1884.558
1887.988,1884.558
1888.748,1885.148
1888.748,1886.115
1888.748,1886.878
1888.748,1886.878
1888.688,1886.878
1888.485,1886.665
1888.485,1885.988
1888.485,1885.035
1888.215,1884.555
1888.215,1884.555
1888.568,1884.555
1891.098,1884.555
1891.098,1884.975
1891.098,1886.548
1891.098,1887.505
1891.588,1887.505
1892.355,1887.708
1892.515,1888.258
1892.515,1888.975
1892.695,1890.758
1892.725,1890.758
1893.378,1891.065
1893.378,1891.095
1894.728,1891.218
1895.415,1891.988
1895.415,1892.255
1895.415,1892.368
1895.415,1892.368
1894.388,1892.305
1894.798,1892.305
1897.355,1892.305
1899.918,1892.305
1899.918,1892.615
1900.078,1894.528
1900.078,1895.698
1900.078,1894.498
1900.078,1894.498
1898.085,1894.498
1897.595,1894.498
1897.595,1893.158
1897.225,1893.158
1896.768,1893.158
1896.845,1893.118
1896.845,1893.118
1898.208,1893.118
1898.208,1893.118
1898.208,1893.548
1898.208,1895.215
1898.155,1895.228
1898.805,1895.228
1899.708,1895.228
1900.528,1895.228
1902.216,1895.408
1902.216,1896.955
1907.438,1896.955
1909.198,1896.955
1909.198,1896.955
1909.198,1898.278
1909.198,1900.428
1907.348,1900.428
1906.588,1900.428
1906.588,1896.158
1906.588,1896.158
1905.488,1896.158
1905.268,1896.158
1908.445,1896.708
1909.458,1897.335
1912.028,1900.918
1912.028,1903.985
1912.028,1905.498
1912.028,1906.808
1911.218,1906.198
1910.988,1906.198
1911.355,1906.198
1911.585,1906.198
1911.585,1906.928
1911.585,1905.785
1911.585,1904.755
1910.888,1904.755
1909.295,1904.755
1909.778,1904.755
1910.418,1905.588
1910.418,1905.568
1910.418,1904.858
1910.418,1903.698
1908.588,1903.558
1906.778,1903.558
1906.478,1903.558
1906.478,1903.558
1906.308,1903.935
1907.398,1904.348
1907.398,1904.348
1907.398,1904.495
1907.398,1904.845
1906.535,1904.845
1905.855,1904.408
1905.628,1902.508
1905.538,1900.955
1905.215,1900.955
1904.548,1899.958
1903.418,1899.605
1903.418,1899.098
1903.195,1898.278
1901.408,1897.878
1901.198,1897.118
1900.965,1895.735
1899.298,1895.735
1898.395,1892.508
1898.075,1891.068
1897.598,1891.068
1897.358,1891.068
1895.958,1891.068
1895.958,1891.935
1895.958,1892.755
1895.958,1892.755
1895.518,1892.755
1895.518,1890.388
1897.808,1889.638
1904.998,1889.638
1908.788,1889.638
1908.938,1889.638
1908.938,1897.078
1914.248,1898.228
1916.028,1904.488
1916.975,1905.258
1916.975,1906.498
1916.975,1910.335
1916.975,1908.175
1915.348,1907.515
1914.528,1907.515
1912.578,1907.515
1912.578,1907.515
1912.578,1905.085
1912.578,1905.085
1910.878,1905.085
1909.068,1905.085
1910.118,1905.308
1910.118,1905.568
1910.118,1905.568
1910.118,1905.935
1909.438,1905.935
1909.438,1905.935
1909.438,1906.385
1910.435,1906.385
1910.435,1906.385
1910.658,1905.538
1910.658,1905.538
1911.898,1905.538
1911.898,1905.538
1911.898,1902.378
1911.898,1902.218
1911.768,1898.158
1911.678,1898.118
1907.098,1898.118
1907.098,1898.118
1907.098,1898.118
1907.188,1900.418
1908.778,1902.098
1909.608,1902.098
1909.608,1902.098
1909.608,1899.448
1909.608,1898.425
1907.668,1898.425
1905.458,1898.425
1905.458,1898.425
1905.458,1900.138
1903.135,1900.138
1903.135,1898.548
1903.135,1898.548
1903.135,1898.548
1903.135,1898.548
1903.578,1899.905
1903.578,1900.688
1903.698,1901.108
1904.445,1901.108
1904.445,1901.568
1904.445,1901.355
1904.445,1900.505
1903.885,1899.928
1903.565,1899.255
1901.948,1897.818
1903.955,1897.818
1903.955,1897.818
1903.955,1897.818
1903.955,1897.888
1901.668,1897.888
1901.648,1897.958
1904.158,1898.148
1904.158,1899.528
1904.158,1900.218
1904.158,1900.218
1903.325,1898.578
1903.015,1898.578
1902.418,1897.598
1902.408,1897.598
1900.988,1897.598
1900.958,1897.598
1900.958,1898.128
1900.958,1897.378
1900.958,1897.378
1900.958,1897.378
1900.378,1896.468
1899.425,1895.715
1899.425,1894.018
1899.285,1891.678
1897.238,1891.678
1896.368,1891.678
1894.818,1891.678
1893.908,1891.418
1893.798,1891.418
1894.048,1891.418
1894.368,1891.418
1894.678,1892.235
1894.678,1890.898
1894.678,1890.898
1894.678,1890.898
1894.525,1890.898
1893.818,1887.748
1893.818,1886.898
1893.818,1886.898
1893.318,1886.898
1893.178,1886.898
1893.858,1888.128
1896.078,1889.978
1898.225,1891.755
1900.938,1892.528
1900.938,1892.958
1900.938,1895.028
1901.418,1897.518
1901.418,1898.818
1901.418,1897.958
1901.418,1897.665
1900.688,1897.665
1900.448,1897.665
1900.448,1897.665
1900.448,1898.448
1903.035,1898.448
1906.105,1898.448
1906.898,1899.298
1908.288,1900.158
1908.288,1901.835
1909.225,1903.738
1909.225,1904.238
1910.438,1904.238
1910.438,1905.475
1915.168,1905.475
1918.188,1905.475
1918.188,1907.818
1918.575,1907.908
1918.575,1909.948
1918.575,1909.948
1918.575,1910.425
1917.188,1912.228
1917.188,1912.228
1917.188,1911.768
1916.315,1911.768
1917.178,1911.768
1917.178,1911.768
1917.178,1913.988
1917.178,1913.798
1916.398,1913.798
1916.285,1913.285
1916.285,1913.078
1916.285,1913.078
1915.348,1913.048
1914.528,1912.445
1914.528,1912.255
1914.248,1911.195
1914.055,1910.735
1913.738,1910.735
1913.638,1910.735
1914.118,1910.735
1914.535,1910.885
1914.535,1911.165
1914.535,1911.165
1914.535,1911.165
1913.218,1911.165
1912.888,1911.088
1912.888,1911.088
1913.358,1911.088
1913.358,1911.088
1913.685,1911.445
1913.975,1911.445
1914.075,1911.445
1914.075,1911.445
1914.428,1912.135
1914.428,1910.918
1914.428,1909.545
1914.428,1909.545
1912.985,1909.545
1911.238,1909.398
1911.238,1908.088
1911.165,1908.088
1910.458,1908.088
1910.868,1908.088
1912.245,1908.645
1912.245,1909.225
1912.245,1909.965
1912.245,1909.965
1912.245,1909.635
1912.388,1909.635
1912.388,1909.635
1912.388,1909.635
1912.388,1909.685
1912.268,1910.038
1912.075,1909.048
1912.075,1909.048
1912.075,1909.048
1912.075,1909.048
1914.425,1909.328
1914.425,1909.668
1914.425,1908.178
1914.425,1908.178
1912.408,1908.178
1911.128,1907.278
1910.638,1906.588
1910.638,1906.515
1912.265,1906.515
1913.508,1906.515
1913.548,1906.515
1913.758,1908.995
1913.758,1911.178
1913.758,1911.398
1913.758,1911.398
1913.458,1911.358
1914.245,1911.358
1916.095,1911.358
1917.938,1911.358
1917.938,1912.418
1919.068,1913.028
1919.068,1912.248
1919.068,1912.248
1919.068,1912.248
1918.968,1912.248
1918.988,1913.478
1921.018,1913.538
1921.018,1911.788
1921.018,1911.788
1921.018,1911.788
1918.798,1911.138
1918.008,1910.915
1917.228,1910.375
1917.228,1908.208
1917.228,1908.208
1913.265,1901.558
1912.958,1900.385
1911.205,1900.385
1909.068,1900.385
1905.965,1900.385
1905.965,1902.598
1905.865,1902.598
1904.868,1901.858
1904.378,1898.298
1904.378,1898.298
1905.538,1898.298
1906.358,1898.298
1906.358,1891.935
1906.358,1889.925
1906.358,1889.925
1906.108,1889.925
1897.328,1886.628
1894.995,1883.318
1894.775,1883.318
1893.238,1879.905
1888.895,1874.558
1886.495,1874.558
1886.175,1874.558
1882.108,1874.558
1880.818,1874.638
1879.635,1874.638
1878.538,1874.638
1878.808,1874.638
1880.515,1875.668
1880.515,1876.595
1880.728,1876.828
1880.728,1876.485
1880.728,1876.485
1880.728,1876.485
1880.665,1873.068
1878.918,1872.748
1880.708,1872.748
1880.708,1872.748
1880.708,1872.748
1881.138,1875.368
1881.975,1878.458
1882.408,1878.818
1882.445,1879.348
1882.745,1879.458
1884.068,1879.458
1884.068,1879.458
1884.068,1881.515
1884.068,1881.918
1883.745,1881.918
1884.658,1881.798
1884.758,1881.798
1886.038,1881.798
1887.155,1881.798
1887.668,1883.248
1889.635,1883.768
1890.748,1884.658
1894.288,1884.758
1896.358,1885.728
1897.898,1889.038
1897.898,1889.745
1897.898,1889.575
1897.898,1889.575
1894.838,1889.575
1894.688,1889.508
1894.688,1889.308
1893.448,1888.098
1892.648,1887.018
1891.798,1886.508
1890.258,1886.508
1890.258,1886.305
1890.258,1886.305
1890.258,1886.305
1889.155,1885.298
1889.155,1882.368
1889.155,1882.368
1887.988,1882.368
1888.875,1882.368
1890.708,1882.848
1890.708,1884.805
1891.655,1885.575
1891.745,1886.048
1891.745,1886.048
1891.745,1883.378
1891.745,1883.238
1890.325,1883.048
1889.598,1879.638
1889.598,1879.078
1889.408,1879.078
1885.598,1879.078
1887.708,1879.078
1887.708,1881.485
1888.658,1881.485
1888.658,1883.388
1888.658,1882.718
1888.658,1880.495
1888.428,1880.495
1887.008,1880.495
1887.448,1880.495
1888.048,1882.005
1888.748,1884.418
1888.748,1885.028
1888.748,1885.028
1888.748,1885.028
1887.698,1885.028
1887.648,1885.068
1887.648,1885.118
1887.415,1885.118
1887.415,1885.118
1887.628,1885.118
1887.628,1885.118
1888.268,1885.118
1888.608,1885.198
1888.608,1886.118
1888.608,1886.118
1888.608,1886.118
1888.338,1886.118
1888.255,1886.638
1888.255,1886.815
1888.255,1886.748
1888.255,1886.728
1887.975,1886.728
1887.975,1884.118
1887.975,1884.118
1887.975,1884.118
1886.945,1884.118
1887.145,1885.065
1887.145,1884.298
1887.145,1883.728
1889.098,1883.728
1889.098,1883.728
1889.098,1883.728
1889.098,1886.125
1888.428,1885.545
1887.508,1885.545
1887.508,1884.315
1887.508,1883.218
1887.488,1883.218
1886.558,1883.218
1885.468,1883.218
1885.498,1884.038
1886.148,1884.295
1887.395,1884.455
1889.128,1884.598
1890.168,1884.908
1890.168,1885.448
1890.168,1887.258
1890.168,1886.675
1893.205,1886.675
1894.348,1886.675
1895.198,1886.675
1895.198,1889.565
1895.198,1890.848
1895.198,1889.958
1892.975,1889.958
1892.975,1889.958
1892.648,1889.958
1892.865,1889.978
1892.865,1889.978
1892.865,1890.618
1892.865,1890.065
1892.728,1890.065
1892.655,1890.065
1892.608,1890.065
1894.258,1890.878
1894.458,1890.878
1894.458,1891.465
1894.458,1890.778
1894.458,1890.088
1893.695,1890.088
1893.908,1890.088
1899.435,1890.088
1899.435,1890.578
1899.938,1890.915
1899.938,1892.685
1899.938,1894.178
1899.938,1894.178
1900.498,1894.178
1900.498,1885.518
1900.498,1884.895
1900.498,1883.125
1894.608,1883.125
1889.528,1883.125
1889.758,1883.125
1890.078,1884.088
1890.078,1885.505
1890.148,1887.458
1890.148,1887.458
1890.148,1885.475
1890.148,1884.835
1889.795,1881.938
1890.898,1881.938
1892.485,1881.938
1892.485,1881.938
1892.485,1882.318
1892.485,1889.635
1892.348,1890.135
1892.828,1890.135
1893.008,1890.135
1893.008,1890.455
1893.415,1891.108
1894.308,1891.688
1894.798,1891.698
1894.798,1892.038
1894.798,1892.838
1894.798,1892.838
1894.435,1892.838
1896.435,1892.838
1896.435,1893.148
1896.435,1893.378
1896.698,1893.638
1896.698,1894.108
1896.698,1894.558
1896.698,1895.018
1898.388,1894.908
1898.388,1894.908
1898.788,1894.908
1899.178,1894.908
1903.328,1897.275
1903.978,1897.358
1905.085,1897.698
1906.518,1899.055
1908.238,1901.878
1908.238,1902.505
1909.688,1903.788
1909.988,1905.228
1911.825,1905.228
1911.978,1905.348
1912.788,1908.675
1912.788,1909.695
1912.788,1909.778
1912.788,1909.485
1911.628,1909.268
1911.588,1908.958
1910.345,1908.928
1911.275,1908.928
1911.758,1908.648
1911.758,1908.048
1911.758,1905.548
1911.758,1905.548
1910.665,1905.548
1908.628,1905.548
1910.445,1905.718
1910.445,1905.848
1910.445,1905.848
1913.515,1907.505
1915.348,1907.708
1915.755,1908.518
1916.438,1909.558
1916.488,1913.075
1916.488,1913.168
1916.488,1912.978
1916.488,1911.668
1915.255,1911.668
1914.928,1911.668
1914.748,1911.668
1916.058,1912.278
1918.018,1912.948
1918.018,1912.948
1918.018,1914.598
1918.018,1915.158
1917.478,1912.238
1917.478,1912.238
1916.665,1912.238
1918.615,1912.238
1921.831,1912.848
1923.068,1912.848
1923.068,1915.308
1923.068,1916.508
1924.808,1916.508
1928.418,1916.508
1928.518,1916.508
1928.518,1918.165
1929.158,1922.228
1929.158,1924.548
1929.158,1924.468
1929.158,1924.468
1927.628,1919.848
1927.628,1919.475
1927.628,1919.475
1925.688,1919.475
1925.688,1919.475
1925.688,1921.508
1925.578,1920.485
1925.578,1920.485
1925.578,1920.485
1927.178,1920.485
1929.128,1920.608
1929.458,1921.965
1929.558,1924.618
1929.558,1926.085
1929.558,1926.085
1929.558,1926.085
1928.995,1926.085
1928.995,1926.205
1929.088,1926.795
1929.818,1927.398
1930.325,1927.768
1930.575,1926.038
1930.575,1926.038
1930.575,1926.038
1930.575,1926.038
1932.365,1927.348
1933.048,1927.985
1933.048,1928.745
1933.048,1928.348
1933.048,1924.968
1931.258,1924.875
1930.905,1924.875
1928.998,1922.493
1927.128,1921.355
1928.655,1921.355
1930.218,1921.355
1930.218,1921.355
1930.218,1922.688
1930.218,1923.958
1928.445,1923.958
1927.445,1923.958
1927.445,1924.675
1929.478,1925.518
1929.478,1925.538
1929.478,1925.538
1929.478,1926.598
1929.338,1926.598
1929.805,1926.598
1930.358,1926.828
1930.358,1927.065
1930.358,1927.868
1930.498,1927.988
1931.788,1927.988
1931.788,1926.608
1931.788,1926.608
1931.788,1926.608
1931.668,1925.085
1929.598,1925.085
1928.518,1923.968
1928.518,1923.818
1927.828,1923.798
1927.158,1923.798
1926.448,1923.798
1926.448,1922.355
1926.448,1922.355
1926.375,1921.908
1925.428,1919.678
1923.735,1918.928
1923.735,1918.928
1923.218,1918.928
1923.455,1918.928
1923.455,1920.228
1923.455,1919.828
1923.455,1918.158
1923.348,1918.158
1923.008,1918.158
1924.888,1918.158
1926.628,1920.595
1927.218,1920.658
1927.218,1921.948
1928.268,1921.948
1928.268,1920.608
1928.268,1920.608
1928.268,1919.528
1925.045,1919.528
1925.788,1919.528
1925.788,1919.528
1925.788,1919.075
1925.788,1919.075
1925.338,1919.075
1925.338,1919.075
1925.338,1920.155
1924.525,1920.155
1924.018,1920.155
1924.848,1920.895
1925.388,1921.835
1925.698,1921.835
1925.698,1921.905
1925.698,1921.905
1925.698,1921.905
1925.315,1921.905
1925.218,1921.415
1924.168,1921.415
1923.948,1920.088
1923.715,1920.088
1923.705,1920.088
1924.165,1920.088
1924.245,1921.565
1924.245,1921.998
1924.245,1921.998
1924.245,1921.998
1923.535,1922.158
1923.398,1921.465
1924.035,1921.465
1924.035,1921.465
1924.288,1921.465
1924.375,1922.408
1924.375,1923.245
1924.425,1923.358
1924.425,1923.558
1925.355,1923.445
1925.355,1920.245
1925.355,1919.365
1925.355,1918.385
1924.995,1918.385
1922.125,1917.105
1922.125,1917.105
1922.125,1917.105
1921.675,1916.535
1920.288,1914.305
1919.938,1911.535
1919.165,1911.535
1917.148,1911.035
1915.988,1911.035
1914.048,1911.035
1913.085,1910.668
1913.005,1910.465
1912.688,1910.168
1912.078,1910.165
1911.875,1910.165
1912.348,1910.165
1913.488,1910.165
1915.568,1910.235
1916.695,1911.088
1916.738,1911.088
1916.738,1913.088
1917.795,1913.538
1918.488,1913.538
1918.488,1913.538
1918.488,1914.395
1918.768,1914.395
1919.385,1914.395
1920.505,1914.395
1920.928,1914.668
1922.048,1917.115
1924.468,1917.908
1924.998,1917.908
1924.998,1919.685
1924.998,1920.685
1924.998,1920.685
1924.048,1920.605
1924.048,1920.408
1922.498,1919.778
1922.058,1919.778
1922.058,1919.778
1921.898,1919.778
1921.898,1918.815
1922.418,1918.318
1922.418,1918.318
1922.418,1918.318
1923.035,1918.318
1923.958,1913.928
1923.958,1909.025
1923.958,1904.758
1923.958,1900.978
1917.028,1893.138
1909.668,1893.138
1907.748,1887.238
1902.265,1886.308
1898.425,1886.308
1895.958,1886.308
1893.178,1886.308
1892.808,1887.265
1895.398,1887.265
1895.398,1889.905
1895.398,1890.125
1895.398,1890.545
1895.365,1890.208
1894.585,1890.208
1893.758,1888.528
1893.065,1888.528
1893.048,1888.528
1893.048,1888.528
1893.048,1889.228
1893.238,1889.228
1894.128,1889.228
1894.998,1889.228
1894.998,1891.328
1894.998,1891.328
1894.998,1892.338
1895.118,1892.338
1895.118,1891.968
1895.118,1891.325
1895.118,1890.968
1893.718,1890.745
1893.298,1890.745
1893.305,1890.745
1893.305,1890.745
1893.305,1891.078
1893.305,1891.768
1893.278,1891.598
1892.965,1891.018
1893.415,1891.018
1893.415,1890.055
1893.415,1890.055
1894.105,1890.055
1894.278,1890.055
1894.278,1889.415
1894.278,1882.395
1894.278,1882.395
1892.688,1882.395
1893.225,1882.395
1894.228,1884.238
1894.228,1887.728
1895.618,1889.908
1896.188,1892.348
1896.298,1892.348
1896.965,1892.768
1897.748,1894.458
1897.748,1895.235
1897.748,1895.235
1897.748,1895.685
1897.548,1893.975
1897.548,1893.445
1897.218,1893.445
1896.068,1892.618
1895.688,1892.618
1896.078,1892.618
1897.055,1892.618
1897.775,1894.058
1897.908,1894.078
1897.908,1894.508
1897.908,1892.858
1897.908,1892.858
1897.668,1892.858
1897.348,1892.858
1897.588,1893.778
1899.738,1895.008
1899.885,1895.598
1900.358,1896.255
1900.358,1896.918
1900.358,1895.265
1900.358,1895.265
1898.468,1894.448
1898.468,1894.448
1899.425,1894.448
1899.745,1894.448
1901.398,1894.568
1902.668,1897.715
1902.668,1898.038
1902.668,1897.918
1902.668,1897.918
1905.558,1897.918
1907.418,1897.918
1909.155,1898.748
1909.518,1900.328
1909.618,1904.398
1909.618,1904.758
1912.828,1904.758
1912.828,1904.758
1912.828,1904.758
1912.828,1906.038
1912.568,1905.895
1911.458,1905.895
1912.018,1905.895
1912.018,1905.895
1912.018,1902.678
1912.018,1901.678
1911.575,1899.688
1909.578,1899.688
1904.455,1899.678
1903.825,1899.678
1903.825,1899.678
1903.928,1899.678
1903.928,1900.875
1903.928,1901.775
1903.928,1900.268
1903.858,1900.255
1903.385,1900.255
1904.005,1900.255
1904.408,1900.255
1904.448,1901.348
1904.448,1899.135
1904.448,1899.078
1904.448,1899.078
1904.198,1899.078
1902.045,1899.078
1902.515,1900.108
1902.515,1900.108
1902.515,1898.915
1902.515,1898.368
1902.335,1898.368
1901.515,1898.368
1900.288,1898.368
1900.288,1896.848
1900.198,1896.848
1900.198,1896.848
1900.198,1896.848
1900.198,1894.535
1900.155,1891.778
1899.728,1891.778
1898.468,1891.778
1897.628,1891.778
1898.325,1892.408
1898.325,1892.408
1898.325,1894.155
1898.325,1893.508
1897.965,1893.068
1897.598,1893.068
1897.908,1893.068
1898.208,1893.068
1898.218,1895.328
1900.155,1896.258
1901.295,1896.885
1901.888,1896.885
1901.888,1897.035
1901.888,1899.785
1901.888,1898.388
1901.858,1898.038
1901.588,1895.858
1900.578,1895.858
1900.328,1895.858
1900.328,1895.858
1900.328,1895.975
1899.758,1895.975
1902.968,1895.975
1903.518,1896.208
1903.518,1896.208
1903.518,1895.108
1903.518,1894.548
1902.655,1892.558
1901.478,1890.188
1897.285,1890.188
1896.448,1889.738
1896.868,1889.738
1897.418,1889.738
1897.418,1889.738
1897.418,1891.998
1897.418,1892.358
1897.328,1892.358
1897.328,1892.678
1897.235,1892.678
1897.235,1891.318
1896.815,1889.945
1896.815,1889.438
1896.458,1889.438
1896.458,1889.438
1898.038,1889.438
1898.038,1891.478
1899.988,1891.478
1902.068,1891.478
1902.068,1891.478
1902.068,1891.735
1902.068,1891.735
1901.185,1891.735
1901.185,1893.108
1904.798,1893.108
1906.538,1896.345
1906.788,1899.098
1906.788,1899.945
1906.788,1902.638
1906.788,1901.848
1904.718,1901.848
1904.345,1901.848
1905.475,1901.848
1907.528,1902.568
1907.528,1902.568
1907.528,1903.088
1907.528,1904.208
1907.028,1904.118
1907.028,1904.118
1907.028,1904.118
1906.715,1904.118
1908.418,1904.578
1908.418,1904.858
1908.418,1905.055
1908.418,1906.058
1908.328,1906.058
1908.798,1906.315
1908.808,1906.715
1908.808,1907.098
1908.808,1907.098
1908.808,1907.098
1908.308,1907.098
1908.678,1907.158
1908.678,1907.318
1908.678,1905.438
1908.678,1904.818
1908.498,1904.818
1907.708,1904.818
1907.435,1904.818
1910.588,1905.025
1910.588,1905.198
1910.588,1905.698
1910.588,1906.238
1910.018,1905.738
1909.675,1905.738
1909.188,1905.738
1908.958,1905.738
1908.988,1906.078
1908.988,1904.965
1908.988,1904.965
1908.988,1904.965
1907.418,1904.965
1906.825,1904.135
1906.825,1903.935
1906.108,1903.935
1907.085,1903.935
1908.018,1903.935
1908.808,1904.898
1908.808,1904.788
1908.808,1904.438
1908.808,1903.208
1906.578,1903.075
1906.578,1902.668
1906.795,1902.668
1907.715,1902.668
1908.185,1902.668
1909.898,1904.458
1910.368,1905.428
1910.368,1906.065
1912.598,1907.605
1912.598,1908.465
1912.598,1908.465
1912.598,1908.218
1911.688,1906.958
1910.538,1906.458
1910.168,1906.458
1909.568,1906.458
1909.905,1906.458
1909.978,1905.758
1911.208,1905.758
1911.208,1905.758
1911.208,1905.758
1911.208,1907.788
1912.705,1908.018
1913.808,1908.298
1913.808,1907.208
1913.808,1904.968
1913.808,1904.648
1910.445,1904.648
1910.398,1903.758
1910.398,1903.758
1910.398,1903.758
1910.398,1903.758
1909.355,1902.298
1909.355,1898.758
1909.355,1898.758
1905.715,1897.658
1903.608,1897.658
1903.518,1897.658
1903.128,1897.658
1901.918,1897.908
1901.918,1899.588
1903.008,1899.588
1904.348,1899.588
1904.348,1899.755
1904.348,1900.725
1904.348,1901.205
1903.235,1901.188
1903.225,1901.188
1902.978,1901.188
1903.638,1901.188
1903.638,1901.005
1903.638,1900.225
1903.638,1899.568
1903.508,1899.025
1901.205,1898.658
1900.758,1898.188
1900.565,1897.935
1900.058,1897.698
1900.228,1897.698
1902.058,1897.698
1902.838,1897.698
1902.838,1898.498
1902.838,1899.038
1902.838,1899.595
1901.398,1898.535
1901.235,1898.535
1902.008,1898.535
1902.008,1898.535
1902.008,1899.268
1902.008,1898.908
1902.695,1896.878
1902.695,1896.878
1902.695,1896.878
1902.715,1896.878
1902.715,1897.778
1902.715,1899.455
1902.715,1900.318
1902.125,1900.318
1902.235,1899.925
1902.235,1899.575
1902.235,1899.575
1902.235,1899.575
1901.358,1899.575
1901.508,1900.335
1902.398,1900.025
1903.268,1900.025
1903.758,1900.025
1903.758,1900.025
1906.208,1902.118
1908.908,1902.325
1910.398,1902.325
1910.888,1902.778
1910.888,1905.695
1910.888,1907.678
1910.888,1908.408
1910.638,1908.408
1911.388,1908.408
1911.698,1908.408
1911.698,1908.658
1911.698,1908.408
1911.905,1908.408
1912.325,1908.408
1912.325,1908.408
1912.325,1909.685
1912.325,1909.685
1912.605,1909.685
1912.605,1909.685
1913.388,1909.958
1913.388,1910.618
1913.765,1910.798
1913.765,1910.928
1913.765,1910.928
1913.765,1910.928
1913.688,1911.358
1916.758,1911.358
1918.338,1911.358
1918.338,1911.358
1918.338,1908.965
1918.338,1908.965
1916.878,1908.965
1914.598,1907.388
1912.335,1906.818
1912.195,1902.715
1912.178,1902.715
1909.978,1902.715
1909.978,1902.715
1909.978,1904.788
1909.765,1903.845
1909.538,1903.845
1909.538,1903.845
1908.855,1903.845
1909.308,1905.085
1910.055,1905.435
1910.058,1907.255
1910.345,1908.198
1910.345,1907.888
1910.345,1906.458
1910.345,1905.065
1910.155,1904.838
1908.798,1904.838
1907.145,1904.838
1907.075,1902.405
1907.075,1901.258
1906.635,1901.258
1904.915,1901.258
1904.038,1900.485
1904.038,1900.485
1903.925,1900.485
1903.665,1900.485
1904.158,1900.745
1904.628,1901.765
1904.628,1902.838
1904.628,1902.778
1904.628,1902.778
1904.358,1902.168
1903.448,1902.168
1903.448,1901.758
1903.388,1901.758
1903.428,1901.575
1903.428,1901.575
1903.428,1901.575
1904.028,1901.575
1904.028,1900.485
1904.068,1900.485
1904.068,1900.485
1904.068,1896.478
1904.068,1894.618
1903.045,1894.618
1901.258,1894.618
1901.215,1894.618
1903.978,1897.905
1903.978,1898.185
1903.978,1899.195
1903.978,1899.728
1903.868,1899.728
1902.715,1899.728
1902.178,1900.098
1902.178,1900.398
1902.478,1900.438
1902.608,1900.438
1902.608,1899.428
1902.845,1899.428
1902.845,1898.675
1903.178,1898.675
1903.988,1898.675
1903.988,1898.675
1903.988,1899.578
1903.988,1899.378
1903.488,1899.378
1903.488,1899.378
1902.685,1899.378
1902.685,1899.568
